   -0.2984969229570033633081039E+00,    0.2981603988773394720013243E+00,,   -0.6003880123166496218800603E+00,   -0.3361069527021441627478993E-02,,   -0.3018593028650062848328162E+00,   -0.3015213301819697488959093E+00,
   -0.2984497452099486025645092E+00,    0.2980887768368090107173884E+00,,   -0.6004162332487883446674459E+00,   -0.3481188312148317254290930E-02,,   -0.3019323893970433658751062E+00,   -0.3015698115756640929063792E+00,
   -0.2984030132556725334325165E+00,    0.2980167450484539903854397E+00,,   -0.6004454459393588905413708E+00,   -0.3601315587579721755329132E-02,,   -0.3020059406039550253808557E+00,   -0.3016178906147097826817571E+00,
   -0.2983567268395415084114575E+00,    0.2979443033764926362927383E+00,,   -0.6004756505488728635100415E+00,   -0.3721451647350965119542821E-02,,   -0.3020799568840768500876948E+00,   -0.3016655674193773339908375E+00,
   -0.2983108857093501598001239E+00,    0.2978714516848239290958134E+00,,   -0.6005068472433787718500753E+00,   -0.3841596785625872589875485E-02,,   -0.3021544386382490898768083E+00,   -0.3017128421097337587220011E+00,
   -0.2982654896152237000706009E+00,    0.2977981898370261060193798E+00,,   -0.6005390361944105137581573E+00,   -0.3961751296700830038410857E-02,,   -0.3022293862698237632002929E+00,   -0.3017597148056384015468723E+00,
   -0.2982205383095983819430330E+00,    0.2977245176963557726779186E+00,,   -0.6005722175788754668701586E+00,   -0.4081915475009315064092164E-02,,   -0.3023048001846486698696026E+00,   -0.3018061856267517661933653E+00,
   -0.2981760315473227507254705E+00,    0.2976504351257405756037144E+00,,   -0.6006063915792072549493241E+00,   -0.4202089615126747279560959E-02,,   -0.3023806807911668670385552E+00,   -0.3018522546925314631316439E+00,
   -0.2981319690855492865466658E+00,    0.2975759419877861411407594E+00,,   -0.6006415583833728533136309E+00,   -0.4322274011773027946325954E-02,,   -0.3024570285004717362653537E+00,   -0.3018979221222379827338500E+00,
   -0.2980883506838214458412040E+00,    0.2975010381447663609932874E+00,,   -0.6006777181847731128527812E+00,   -0.4442468959819811935574307E-02,,   -0.3025338437260174373477639E+00,   -0.3019431880349360830528838E+00,
   -0.2980451761039777380801752E+00,    0.2974257234586252240937654E+00,,   -0.6007148711822694053807936E+00,   -0.4562674754292755929796499E-02,,   -0.3026111268839315471268492E+00,   -0.3019880525494945122666479E+00,
