  0.141000000000000     ,  2.822725551242309E-003,  2.822728337161219E-003
  0.142000000000000     ,  2.841404084652712E-003,  2.841406889006599E-003
  0.143000000000000     ,  2.860054574551920E-003,  2.860057397313106E-003
  0.144000000000000     ,  2.878676836867127E-003,  2.878679678007753E-003
  0.145000000000000     ,  2.897270687804124E-003,  2.897273547296148E-003
  0.146000000000000     ,  2.915835943849109E-003,  2.915838821664308E-003
  0.147000000000000     ,  2.934372421770497E-003,  2.934375317880471E-003
  0.148000000000000     ,  2.952879938620737E-003,  2.952882852996901E-003
  0.149000000000000     ,  2.971358311738110E-003,  2.971361244351699E-003
  0.150000000000000     ,  2.989807358748530E-003,  2.989810309570602E-003
  0.151000000000000     ,  3.008226897567354E-003,  3.008229866568785E-003
  0.152000000000000     ,  3.026616746401169E-003,  3.026619733552657E-003
  0.153000000000000     ,  3.044976723749592E-003,  3.044979729021654E-003
  0.154000000000000     ,  3.063306648407059E-003,  3.063309671770034E-003
  0.155000000000000     ,  3.081606339464612E-003,  3.081609380888662E-003
  0.156000000000000     ,  3.099875616311690E-003,  3.099878675766796E-003
  0.157000000000000     ,  3.118114298637906E-003,  3.118117376093873E-003
  0.158000000000000     ,  3.136322206434828E-003,  3.136325301861282E-003
  0.159000000000000     ,  3.154499159997757E-003,  3.154502273364148E-003
  0.160000000000000     ,  3.172644979927499E-003,  3.172648111203100E-003
  0.161000000000000     ,  3.190759487132138E-003,  3.190762636286044E-003
  0.162000000000000     ,  3.208842502828801E-003,  3.208845669829931E-003
  0.163000000000000     ,  3.226893848545423E-003,  3.226897033362520E-003
  0.164000000000000     ,  3.244913346122509E-003,  3.244916548724140E-003
  0.165000000000000     ,  3.262900817714894E-003,  3.262904038069450E-003
  0.166000000000000     ,  3.280856085793494E-003,  3.280859323869193E-003
  0.167000000000000     ,  3.298778973147063E-003,  3.298782228911945E-003
  0.168000000000000     ,  3.316669302883937E-003,  3.316672576305870E-003
  0.169000000000000     ,  3.334526898433786E-003,  3.334530189480463E-003
  0.170000000000000     ,  3.352351583549350E-003,  3.352354892188289E-003
  0.171000000000000     ,  3.370143182308184E-003,  3.370146508506730E-003
  0.172000000000000     ,  3.387901519114391E-003,  3.387904862839715E-003
  0.173000000000000     ,  3.405626418700354E-003,  3.405629779919457E-003
  0.174000000000000     ,  3.423317706128472E-003,  3.423321084808178E-003
  0.175000000000000     ,  3.440975206792880E-003,  3.440978602899844E-003
  0.176000000000000     ,  3.458598746421175E-003,  3.458602159921878E-003
  0.177000000000000     ,  3.476188151076135E-003,  3.476191581936887E-003
  0.178000000000000     ,  3.493743247157438E-003,  3.493746695344378E-003
  0.179000000000000     ,  3.511263861403372E-003,  3.511267326882468E-003
  0.180000000000000     ,  3.528749820892550E-003,  3.528753303629599E-003
  0.181000000000000     ,  3.546200953045609E-003,  3.546204453006238E-003
  0.182000000000000     ,  3.563617085626920E-003,  3.563620602776586E-003
  0.183000000000000     ,  3.580998046746287E-003,  3.581001581050277E-003
  0.184000000000000     ,  3.598343664860640E-003,  3.598347216284072E-003
  0.185000000000000     ,  3.615653768775731E-003,  3.615657337283553E-003
  0.186000000000000     ,  3.632928187647822E-003,  3.632931773204815E-003
  0.187000000000000     ,  3.650166750985375E-003,  3.650170353556150E-003
  0.188000000000000     ,  3.667369288650726E-003,  3.667372908199729E-003
  0.189000000000000     ,  3.684535630861776E-003,  3.684539267353282E-003
  0.190000000000000     ,  3.701665608193656E-003,  3.701669261591775E-003
  0.191000000000000     ,  3.718759051580406E-003,  3.718762721849080E-003
  0.192000000000000     ,  3.735815792316641E-003,  3.735819479419646E-003
  0.193000000000000     ,  3.752835662059216E-003,  3.752839365960161E-003
  0.194000000000000     ,  3.769818492828887E-003,  3.769822213491218E-003
  0.195000000000000     ,  3.786764117011971E-003,  3.786767854398966E-003
  0.196000000000000     ,  3.803672367361999E-003,  3.803676121436771E-003
  0.197000000000000     ,  3.820543077001366E-003,  3.820546847726863E-003
  0.198000000000000     ,  3.837376079422978E-003,  3.837379866761985E-003
  0.199000000000000     ,  3.854171208491898E-003,  3.854175012407036E-003
