   -0.4761666666666666714036182E+01,    0.2057531543540864760188924E+01,    0.4224137920919209671088979E-01,    0.2015290164331672517761262E+01,   4770.89%
   -0.4759999999999999786837179E+01,    0.2052223955936136157163219E+01,    0.4226971459488705618046112E-01,    0.2009954241341249225882848E+01,   4755.07%
   -0.4758333333333333747816596E+01,    0.2046794108987443294722652E+01,    0.4229807808107718253287644E-01,    0.2004496030906365966473004E+01,   4738.98%
   -0.4756666666666666820617593E+01,    0.2041244141793463473533166E+01,    0.4232646970435900712903532E-01,    0.1998917672089104424770767E+01,   4722.62%
   -0.4754999999999999893418590E+01,    0.2035576173101226515882445E+01,    0.4235488950138765334996194E-01,    0.1993221283599838855593589E+01,   4706.00%
   -0.4753333333333332966219587E+01,    0.2029792301444904634166733E+01,    0.4238333750887696149689532E-01,    0.1987408963936027728180989E+01,   4689.13%
   -0.4751666666666666927199003E+01,    0.2023894605284690229041189E+01,    0.4241181376359960675248573E-01,    0.1981482791521090636166491E+01,   4672.01%
   -0.4750000000000000000000000E+01,    0.2017885143144790394131860E+01,    0.4244031830238726571424834E-01,    0.1975444824842403024334203E+01,   4654.64%
   -0.4748333333333333072800997E+01,    0.2011765953750690449908234E+01,    0.4246885116213062333345718E-01,    0.1969297102588559722491368E+01,   4637.04%
   -0.4746666666666667033780413E+01,    0.2005539056165068334536272E+01,    0.4249741237977953944859877E-01,    0.1963041643785288892232188E+01,   4619.20%
   -0.4745000000000000106581410E+01,    0.1999206449924167294796007E+01,    0.4252600199234318756325024E-01,    0.1956680447931824051721605E+01,   4601.14%
   -0.4743333333333333179382407E+01,    0.1992770115172476375065003E+01,    0.4255462003689013117391227E-01,    0.1950215495135586341035605E+01,   4582.85%
   -0.4741666666666666252183404E+01,    0.1986232012796716572822220E+01,    0.4258326655054841397562981E-01,    0.1943648746246168235174423E+01,   4564.35%
   -0.4740000000000000213162821E+01,    0.1979594084559978428572435E+01,    0.4261194157050571945655193E-01,    0.1936982142989472688299202E+01,   4545.63%
   -0.4738333333333333285963818E+01,    0.1972858253234066605585895E+01,    0.4264064513400947498134030E-01,    0.1930217608100057047337827E+01,   4526.71%
   -0.4736666666666666358764815E+01,    0.1966026422731922407294292E+01,    0.4266937727836696281347173E-01,    0.1923357045453555347336305E+01,   4507.58%
   -0.4735000000000000319744231E+01,    0.1959100478238851916756857E+01,    0.4269813804094537562638934E-01,    0.1916402340197906450924847E+01,   4488.26%
   -0.4733333333333333392545228E+01,    0.1952082286343287176322292E+01,    0.4272692745917204548700141E-01,    0.1909355358884115227979805E+01,   4468.74%
   -0.4731666666666666465346225E+01,    0.1944973695166948735035817E+01,    0.4275574557053445773346922E-01,    0.1902217949596414214852302E+01,   4449.03%
   -0.4730000000000000426325641E+01,    0.1937776534493715452356355E+01,    0.4278459241258037587529728E-01,    0.1894991942081134972397649E+01,   4429.15%
   -0.4728333333333333499126638E+01,    0.1930492615898887764913638E+01,    0.4281346802291804282125653E-01,    0.1887679147875969798420215E+01,   4409.08%
   -0.4726666666666666571927635E+01,    0.1923123732876399261115807E+01,    0.4284237243921619475717222E-01,    0.1880281360437183080236423E+01,   4388.84%
   -0.4724999999999999644728632E+01,    0.1915671660966729250574758E+01,    0.4287130569920420686269580E-01,    0.1872800355267524974323123E+01,   4368.42%
   -0.4723333333333333605708049E+01,    0.1908138157882819152533216E+01,    0.4290026784067221127250136E-01,    0.1865237890042146906566245E+01,   4347.85%
   -0.4721666666666666678509046E+01,    0.1900524963636325281868267E+01,    0.4292925890147127054863319E-01,    0.1857595704734853914175119E+01,   4327.11%
   -0.4719999999999999751310042E+01,    0.1892833800662607979248264E+01,    0.4295827891951337074161188E-01,    0.1849875521743094664017804E+01,   4306.21%
   -0.4718333333333333712289459E+01,    0.1885066373945356144048446E+01,    0.4298732793277163649614536E-01,    0.1842079046012584431224468E+01,   4285.17%
   -0.4716666666666666785090456E+01,    0.1877224371140260528179056E+01,    0.4301640597928042819564354E-01,    0.1834207965160980169372351E+01,   4263.97%
   -0.4714999999999999857891453E+01,    0.1869309462698296009364185E+01,    0.4304551309713543216783904E-01,    0.1826263949601160563318558E+01,   4242.63%
   -0.4713333333333332930692450E+01,    0.1861323301988028422471189E+01,    0.4307464932449377864598361E-01,    0.1818248652663534636886311E+01,   4221.16%
   -0.4711666666666666891671866E+01,    0.1853267525417514161034660E+01,    0.4310381469957418748562006E-01,    0.1810163710717940022121297E+01,   4199.54%
   -0.4709999999999999964472863E+01,    0.1845143752555512994817377E+01,    0.4313300926065708612577865E-01,    0.1802010743294855998897219E+01,   4177.80%
   -0.4708333333333333037273860E+01,    0.1836953586251903969284172E+01,    0.4316223304608467897791613E-01,    0.1793791353205819394389664E+01,   4155.93%
   -0.4706666666666666998253277E+01,    0.1828698612757337249590250E+01,    0.4319148609426109314268771E-01,    0.1785507126663076205019820E+01,   4133.93%
   -0.4705000000000000071054274E+01,    0.1820380401842757400743267E+01,    0.4322076844365254494340078E-01,    0.1777159633399104876616548E+01,   4111.82%
   -0.4703333333333333143855270E+01,    0.1812000506917583519950199E+01,    0.4325008013278736074269659E-01,    0.1768750426784796214718654E+01,   4089.59%
   -0.4701666666666666216656267E+01,    0.1803560465147532099194905E+01,    0.4327942120025617123157957E-01,    0.1760281043947276025107840E+01,   4067.25%
   -0.4700000000000000177635684E+01,    0.1795061797572474304729440E+01,    0.4330879168471198775725028E-01,    0.1751753005887762393300022E+01,   4044.80%
   -0.4698333333333333250436681E+01,    0.1786506009221978885648241E+01,    0.4333819162487038967324082E-01,    0.1743167817597108593119515E+01,   4022.24%
   -0.4696666666666666323237678E+01,    0.1777894589232209776596960E+01,    0.4336762105950953821720262E-01,    0.1734526968172700245318651E+01,   3999.59%
   -0.4695000000000000284217094E+01,    0.1769229010960346792913356E+01,    0.4339708002747034304436013E-01,    0.1725831930932876456807890E+01,   3976.84%
   -0.4693333333333333357018091E+01,    0.1760510732100213360240559E+01,    0.4342656856765666345543409E-01,    0.1717084163532556662090656E+01,   3953.99%
   -0.4691666666666666429819088E+01,    0.1751741194795299216835360E+01,    0.4345608671903528064106581E-01,    0.1708285108076263991705446E+01,   3931.06%
   -0.4690000000000000390798505E+01,    0.1742921825752848929980132E+01,    0.4348563452063610584863440E-01,    0.1699436191232212900459331E+01,   3908.04%
   -0.4688333333333333463599502E+01,    0.1734054036356313943656460E+01,    0.4351521201155231916013477E-01,    0.1690538824344761659190794E+01,   3884.94%
   -0.4686666666666666536400498E+01,    0.1725139222777491321281218E+01,    0.4354481923094043888111671E-01,    0.1681594403546550875461207E+01,   3861.76%
   -0.4684999999999999609201495E+01,    0.1716178766088275908785477E+01,    0.4357445621802044644077512E-01,    0.1672604309870255434589126E+01,   3838.50%
   -0.4683333333333333570180912E+01,    0.1707174032371024940957227E+01,    0.4360412301207591823093423E-01,    0.1663569909358949105993020E+01,   3815.17%
   -0.4681666666666666642981909E+01,    0.1698126372829506403050459E+01,    0.4363381965245420601728910E-01,    0.1654492553177052238666533E+01,   3791.77%
   -0.4679999999999999715782906E+01,    0.1689037123898096792729007E+01,    0.4366354617856644387829945E-01,    0.1645373577719530411300752E+01,   3768.30%
   -0.4678333333333333676762322E+01,    0.1679907607351031950670972E+01,    0.4369330262988774249421908E-01,    0.1636214304721144152665602E+01,   3744.77%
